DATA_INICIAL,DATA FINAL,REGIAO,ESTADO,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO,MES,ANO
08/01/2017,14/01/2017,NORTE,RORAIMA,ÓLEO DIESEL,7,R$/l,3.361,0.041,3.28,3.4,0.493,0.012,2.868,0.118,2.76,3.1184,0.041,1,2017
08/01/2017,14/01/2017,SUL,SANTA CATARINA,ÓLEO DIESEL,128,R$/l,3.029,0.142,2.699,3.509,0.434,0.047,2.595,0.105,2.2968,2.7763,0.04,1,2017
08/01/2017,14/01/2017,SUDESTE,SAO PAULO,ÓLEO DIESEL,922,R$/l,2.979,0.126,2.459,3.349,0.37,0.042,2.609,0.105,2.19,2.914,0.04,1,2017
08/01/2017,14/01/2017,NORDESTE,SERGIPE,ÓLEO DIESEL,21,R$/l,3.066,0.097,2.899,3.199,0.265,0.032,2.801,0.078,2.6402,2.8737,0.028,1,2017
08/01/2017,14/01/2017,NORTE,TOCANTINS,ÓLEO DIESEL,30,R$/l,3.121,0.149,2.8,3.55,0.459,0.048,2.662,0.067,2.52,2.7641,0.025,1,2017
08/01/2017,14/01/2017,NORTE,ACRE,ÓLEO DIESEL S10,24,R$/l,4.004,0.182,3.66,4.26,0.682,0.045,3.322,0.162,2.9447,3.4567,0.049,1,2017
08/01/2017,14/01/2017,NORDESTE,ALAGOAS,ÓLEO DIESEL S10,46,R$/l,3.19,0.115,2.949,3.449,0.384,0.036,2.806,0.106,2.5416,3.1092,0.038,1,2017
08/01/2017,14/01/2017,NORTE,AMAPA,ÓLEO DIESEL S10,13,R$/l,4.065,0.1,3.89,4.299,0.488,0.025,3.577,0.003,3.5753,3.5795,0.001,1,2017
08/01/2017,14/01/2017,NORTE,AMAZONAS,ÓLEO DIESEL S10,40,R$/l,3.375,0.191,3.1,3.85,0.374,0.057,3.001,0.097,2.7,3.18,0.032,1,2017
08/01/2017,14/01/2017,NORDESTE,BAHIA,ÓLEO DIESEL S10,253,R$/l,3.188,0.176,2.829,3.999,0.408,0.055,2.78,0.105,2.4916,3.1316,0.038,1,2017
08/01/2017,14/01/2017,NORDESTE,CEARA,ÓLEO DIESEL S10,175,R$/l,3.337,0.057,3.109,3.499,0.453,0.017,2.884,0.033,2.7688,2.9734,0.011,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,DISTRITO FEDERAL,ÓLEO DIESEL S10,27,R$/l,3.472,0.148,3.199,3.849,0.408,0.043,3.064,0.094,2.9059,3.2314,0.031,1,2017
08/01/2017,14/01/2017,SUDESTE,ESPIRITO SANTO,ÓLEO DIESEL S10,83,R$/l,3.196,0.114,2.97,3.49,0.397,0.036,2.799,0.089,2.5928,3.0391,0.032,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,GOIAS,ÓLEO DIESEL S10,116,R$/l,3.256,0.141,2.99,3.71,0.321,0.043,2.935,0.047,2.819,3.0199,0.016,1,2017
08/01/2017,14/01/2017,NORDESTE,MARANHAO,ÓLEO DIESEL S10,103,R$/l,3.183,0.099,2.95,3.48,0.313,0.031,2.87,0.086,2.685,3.0729,0.03,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,MATO GROSSO,ÓLEO DIESEL S10,104,R$/l,3.48,0.182,3.129,3.98,0.459,0.052,3.021,0.105,2.8,3.149,0.035,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,MATO GROSSO DO SUL,ÓLEO DIESEL S10,67,R$/l,3.537,0.098,3.29,3.7,0.422,0.028,3.115,0.082,2.835,3.2423,0.026,1,2017
08/01/2017,14/01/2017,SUDESTE,MINAS GERAIS,ÓLEO DIESEL S10,391,R$/l,3.217,0.119,2.899,3.599,0.377,0.037,2.84,0.115,2.469,3.1781,0.04,1,2017
08/01/2017,14/01/2017,NORTE,PARA,ÓLEO DIESEL S10,99,R$/l,3.505,0.173,3.01,3.939,0.529,0.049,2.976,0.091,2.776,3.2915,0.031,1,2017
08/01/2017,14/01/2017,NORDESTE,PARAIBA,ÓLEO DIESEL S10,44,R$/l,3.087,0.101,2.89,3.399,0.348,0.033,2.739,0.101,2.5651,2.9433,0.037,1,2017
08/01/2017,14/01/2017,SUL,PARANA,ÓLEO DIESEL S10,252,R$/l,3.04,0.128,2.59,3.41,0.376,0.042,2.664,0.111,2.44,2.8929,0.042,1,2017
08/01/2017,14/01/2017,NORDESTE,PERNAMBUCO,ÓLEO DIESEL S10,184,R$/l,3.02,0.119,2.749,3.49,0.395,0.039,2.625,0.133,2.485,3.0653,0.051,1,2017
08/01/2017,14/01/2017,NORDESTE,PIAUI,ÓLEO DIESEL S10,54,R$/l,3.34,0.131,3,3.639,0.338,0.039,3.002,0.134,2.788,3.3827,0.045,1,2017
08/01/2017,14/01/2017,SUDESTE,RIO DE JANEIRO,ÓLEO DIESEL S10,285,R$/l,3.351,0.165,2.899,3.879,0.49,0.049,2.861,0.126,2.6229,3.1962,0.044,1,2017
08/01/2017,14/01/2017,NORDESTE,RIO GRANDE DO NORTE,ÓLEO DIESEL S10,50,R$/l,3.337,0.065,3.18,3.47,0.408,0.019,2.929,0.039,2.8639,3.0091,0.013,1,2017
08/01/2017,14/01/2017,SUL,RIO GRANDE DO SUL,ÓLEO DIESEL S10,280,R$/l,3.202,0.154,2.759,3.827,0.52,0.048,2.682,0.096,2.3935,2.907,0.036,1,2017
08/01/2017,14/01/2017,NORTE,RONDONIA,ÓLEO DIESEL S10,57,R$/l,3.473,0.106,3.23,3.75,0.451,0.031,3.022,0.076,2.7972,3.1272,0.025,1,2017
08/01/2017,14/01/2017,NORTE,RORAIMA,ÓLEO DIESEL S10,8,R$/l,3.448,0.077,3.3,3.56,0.521,0.022,2.927,0.128,2.7758,3.2021,0.044,1,2017
08/01/2017,14/01/2017,SUL,SANTA CATARINA,ÓLEO DIESEL S10,185,R$/l,3.149,0.13,2.859,3.599,0.461,0.041,2.688,0.127,2.3429,2.9504,0.047,1,2017
08/01/2017,14/01/2017,SUDESTE,SAO PAULO,ÓLEO DIESEL S10,1133,R$/l,3.15,0.13,2.799,3.599,0.409,0.041,2.741,0.117,2.299,3.0441,0.043,1,2017
08/01/2017,14/01/2017,NORDESTE,SERGIPE,ÓLEO DIESEL S10,33,R$/l,3.2,0.151,3,3.499,0.38,0.047,2.82,0.072,2.69,2.9561,0.026,1,2017
08/01/2017,14/01/2017,NORTE,TOCANTINS,ÓLEO DIESEL S10,39,R$/l,3.222,0.159,2.95,3.86,0.505,0.049,2.717,0.082,2.605,2.8613,0.03,1,2017
08/01/2017,14/01/2017,NORTE,ACRE,GASOLINA COMUM,31,R$/l,4.232,0.217,4.08,4.7,0.559,0.051,3.673,0.114,3.4061,3.8028,0.031,1,2017
08/01/2017,14/01/2017,NORDESTE,ALAGOAS,GASOLINA COMUM,61,R$/l,3.733,0.228,3.369,4.35,0.474,0.061,3.259,0.101,3.139,3.6393,0.031,1,2017
08/01/2017,14/01/2017,NORTE,AMAPA,GASOLINA COMUM,15,R$/l,3.759,0.132,3.5,4.09,0.269,0.035,3.49,0.029,3.4468,3.508,0.008,1,2017
08/01/2017,14/01/2017,NORTE,AMAZONAS,GASOLINA COMUM,71,R$/l,3.991,0.193,3.74,4.5,0.568,0.048,3.423,0.117,3.1,3.593,0.034,1,2017
08/01/2017,14/01/2017,NORDESTE,BAHIA,GASOLINA COMUM,324,R$/l,3.725,0.198,3.36,4.399,0.453,0.053,3.272,0.094,3.119,3.6826,0.029,1,2017
08/01/2017,14/01/2017,NORDESTE,CEARA,GASOLINA COMUM,206,R$/l,3.978,0.066,3.749,4.209,0.511,0.017,3.467,0.048,3.3281,3.5769,0.014,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,DISTRITO FEDERAL,GASOLINA COMUM,34,R$/l,3.701,0.111,3.459,3.889,0.332,0.03,3.369,0.045,3.3167,3.4859,0.013,1,2017
08/01/2017,14/01/2017,SUDESTE,ESPIRITO SANTO,GASOLINA COMUM,117,R$/l,3.772,0.128,3.49,4.04,0.409,0.034,3.363,0.06,3.1798,3.4946,0.018,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,GOIAS,GASOLINA COMUM,211,R$/l,3.906,0.116,3.63,4.3,0.457,0.03,3.449,0.064,3.3285,3.5989,0.019,1,2017
08/01/2017,14/01/2017,NORDESTE,MARANHAO,GASOLINA COMUM,125,R$/l,3.615,0.192,3.385,4,0.405,0.053,3.21,0.138,3.02,3.4763,0.043,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,MATO GROSSO,GASOLINA COMUM,136,R$/l,3.783,0.175,3.61,4.4,0.451,0.046,3.332,0.068,3.24,3.578,0.02,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,MATO GROSSO DO SUL,GASOLINA COMUM,82,R$/l,3.703,0.18,3.444,4.157,0.437,0.049,3.266,0.066,3.16,3.432,0.02,1,2017
08/01/2017,14/01/2017,SUDESTE,MINAS GERAIS,GASOLINA COMUM,589,R$/l,3.847,0.132,3.42,4.199,0.396,0.034,3.451,0.081,3.23,3.6918,0.023,1,2017
08/01/2017,14/01/2017,NORTE,PARA,GASOLINA COMUM,115,R$/l,4.104,0.235,3.61,4.67,0.514,0.057,3.59,0.136,2.908,3.7969,0.038,1,2017
08/01/2017,14/01/2017,NORDESTE,PARAIBA,GASOLINA COMUM,57,R$/l,3.589,0.125,3.449,3.899,0.348,0.035,3.241,0.08,3.11,3.4075,0.025,1,2017
08/01/2017,14/01/2017,SUL,PARANA,GASOLINA COMUM,358,R$/l,3.679,0.156,3.29,4.09,0.36,0.042,3.319,0.1,3.06,3.5931,0.03,1,2017
08/01/2017,14/01/2017,NORDESTE,PERNAMBUCO,GASOLINA COMUM,198,R$/l,3.487,0.27,3.159,4.34,0.35,0.077,3.137,0.126,2.9958,3.6987,0.04,1,2017
08/01/2017,14/01/2017,NORDESTE,PIAUI,GASOLINA COMUM,63,R$/l,3.658,0.107,3.49,3.92,0.376,0.029,3.282,0.039,3.179,3.3326,0.012,1,2017
08/01/2017,14/01/2017,SUDESTE,RIO DE JANEIRO,GASOLINA COMUM,412,R$/l,4.077,0.159,3.69,4.949,0.507,0.039,3.57,0.103,3.17,3.8179,0.029,1,2017
08/01/2017,14/01/2017,NORDESTE,RIO GRANDE DO NORTE,GASOLINA COMUM,62,R$/l,3.91,0.048,3.79,4,0.475,0.012,3.435,0.052,3.3419,3.552,0.015,1,2017
08/01/2017,14/01/2017,SUL,RIO GRANDE DO SUL,GASOLINA COMUM,377,R$/l,3.906,0.199,3.499,4.43,0.446,0.051,3.46,0.099,3.15,3.7022,0.029,1,2017
08/01/2017,14/01/2017,NORTE,RONDONIA,GASOLINA COMUM,66,R$/l,4.002,0.169,3.749,4.41,0.533,0.042,3.469,0.078,3.3677,3.6879,0.022,1,2017
08/01/2017,14/01/2017,NORTE,RORAIMA,GASOLINA COMUM,9,R$/l,3.888,0.028,3.83,3.92,0.585,0.007,3.303,0.08,3.2122,3.4922,0.024,1,2017
08/01/2017,14/01/2017,SUL,SANTA CATARINA,GASOLINA COMUM,246,R$/l,3.702,0.161,3.259,4.05,0.429,0.043,3.273,0.098,3.0313,3.5184,0.03,1,2017
08/01/2017,14/01/2017,SUDESTE,SAO PAULO,GASOLINA COMUM,1623,R$/l,3.63,0.149,3.149,4.099,0.442,0.041,3.188,0.092,2.59,3.59,0.029,1,2017
08/01/2017,14/01/2017,NORDESTE,SERGIPE,GASOLINA COMUM,37,R$/l,3.74,0.143,3.419,3.899,0.407,0.038,3.333,0.063,3.19,3.4166,0.019,1,2017
08/01/2017,14/01/2017,NORTE,TOCANTINS,GASOLINA COMUM,41,R$/l,3.843,0.143,3.499,4.15,0.48,0.037,3.363,0.069,3.26,3.4606,0.021,1,2017
08/01/2017,14/01/2017,NORTE,ACRE,GLP,43,R$/13Kg,60.611,2.489,56.5,70,8.477,0.041,52.134,0.969,50.78,52.77,0.019,1,2017
08/01/2017,14/01/2017,NORDESTE,ALAGOAS,GLP,37,R$/13Kg,52.321,4.781,40,60,15.214,0.091,37.107,3.339,31,40,0.09,1,2017
08/01/2017,14/01/2017,NORTE,AMAPA,GLP,19,R$/13Kg,69.827,1.759,65,72,21.146,0.025,48.681,6.73,40.95,60,0.138,1,2017
08/01/2017,14/01/2017,NORTE,AMAZONAS,GLP,88,R$/13Kg,53.437,4.176,49,65,7.92,0.078,45.517,2.435,44.25,60,0.053,1,2017
08/01/2017,14/01/2017,NORDESTE,BAHIA,GLP,238,R$/13Kg,51.096,6.039,40,69,14.692,0.118,36.404,3.902,29,42.5,0.107,1,2017
08/01/2017,14/01/2017,NORDESTE,CEARA,GLP,180,R$/13Kg,61.588,4.192,50,68,18.374,0.068,43.214,4.79,32.99,47.99,0.111,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,DISTRITO FEDERAL,GLP,71,R$/13Kg,60.239,4.728,48,72,19.613,0.078,40.626,1.551,38,42,0.038,1,2017
08/01/2017,14/01/2017,SUDESTE,ESPIRITO SANTO,GLP,146,R$/13Kg,53.271,3.443,45,65,17.511,0.065,35.76,1.928,33.51,45,0.054,1,2017
08/01/2017,14/01/2017,CENTRO OESTE,GOIAS,GLP,277,R$/13Kg,57.147,3.668,50,68,7.428,0.064,49.719,2.315,38,54.4,0.047,1,2017
